SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
Nike Air Force 1 High,Nike,"{Velcro, Laces}",,Bruce Kilgore,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",100.00,,{Camouflage},,"{Spring, Fall}","{Classic, Sporty}",High,
Adidas NMD_R1,Adidas,"{Laces, Slip-On}",,Nic Galway,,Running,"{Cotton Lace, No Lace, Flat Lace}",140.00,,{},,"{Spring, Summer}",{Sporty},Low,
Converse Chuck Taylor All Star Low Top,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",50.00,Asian,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Lakai Flaco 2,Lakai,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",76.00,,{},2019,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
DC Kalis Lite,DC,{},,,,Skate,{},75.00,,{},,{},{},Low,
PUMA CA Pro Classic,PUMA,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",80.00,,{},2022,"{Spring, Summer}","{Retro, Sporty, Platform}",Low,
PUMA Rebound Future Evo,PUMA,{Laces},,,,Basketball,{Round Lace},70.00,Asian,{},2023,"{Spring, Summer}",{Sporty},High,13.0
Vans Old Skool Pro,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Sperry Bahama 2,Sperry,"{Laces, Slip-On}",,,,Boat,"{No Lace, Leather Lace}",65.00,,{},2022,"{Spring, Summer}","{Minimalist, Dressy}",Low,13.0
Hoka Bondi L,Hoka,{Laces},,,,Running,{Cotton Lace},190.00,Asian,{},2022,"{Spring, Summer, Fall, Winter}",{Sporty},Low,
Skechers Max Protect,Skechers,{Laces},,,,Hiking,{Round Lace},100.00,,{},2022,"{Spring, Summer, Fall}","{Dad, Sporty, Chunky}",Low,15.0
Nike Reposto,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,,{},2020,"{Spring, Summer}",{Sporty},Low,11.1
Vans Anaheim Factory SK8-Hi 38 DX,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",100.00,,{Graphic},,"{Spring, Summer, Fall}","{Retro, Sporty}",High,
Globe Dover,Globe,{Slip-On},,,,Skate,{No Lace},80.00,,{},2019,{},{},Mid,
Vans Zahba,Vans,{Laces},,,,Skate,{Flat Lace},95.00,,{},2023,"{Spring, Summer}",{Sporty},Low,13.0
Cole Haan Grandsport Trainer,Cole Haan,{Laces},,,,,{Cotton Lace},220.00,Asian,{},2022,"{Spring, Summer}",{Sporty},Low,
Nike Air Vapormax EVO,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",200.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Vans Skate Era,Vans,{Laces},,Tony Alva,,Skate,{Flat Lace},70.00,Asian,{},2022,"{Spring, Summer, Fall}","{Retro, Classic, Dressy}",Low,15.0
Jordan Air NFH,Jordan,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",110.00,Asian,{},2022,"{Spring, Summer}",{Sporty},Low,
New Balance CT300 v3,New Balance,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",80.00,Asian,{},2023,"{Spring, Summer, Fall}","{Retro, Classic, Sporty}",Low,
Skechers Oak Canyon,Skechers,{Laces},,,,Hiking,{Round Lace},80.00,,{},2023,"{Spring, Summer}","{Dad, Sporty}",Low,
Adidas 3MC,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},2019,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Air Force 270,Nike,"{Velcro, Laces}",,,,Basketball,"{Round Lace, No Lace}",160.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty}",Mid,
Globe Encore-2,Globe,{Laces},,,,Skate,{Flat Lace},82.00,,{},2022,"{Spring, Summer}",{Classic},Low,
PUMA Future Rider Play On,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
PUMA Super Liga OG Retro,PUMA,{Laces},,,,Football,{},60.00,,{},2020,"{Spring, Summer}",{Retro},Low,
PUMA C-Rey,PUMA,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",60.00,,{Tie Dye},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,14.0
ASICS Gel PTG,ASICS,{},,,,Basketball,{},90.00,,{},,{},{},Low,
Air Jordan 11 Retro Low,Jordan,{Laces},,,,Basketball,{Round Lace},185.00,,{},2023,{Summer},"{Retro, Sporty}",Low,
Vans Old Skool Stacked,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",80.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist, Platform}",Low,
Nike Air Rift,Nike,{Velcro},,,,Running,{No Lace},160.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Max2 Light,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2019,"{Spring, Summer}","{Retro, Chunky}",Low,
Jordan Access,Jordan,{Laces},,,,Basketball,{Flat Lace},100.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Classic, Sporty, Minimalist}",Mid,
Adidas Strutter,Adidas,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",65.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Dad, Chunky}",Low,
KEEN Howser II,KEEN,{},,,,Casual,{},80.00,,{},,{},{},Low,
APL TechLoom Phantom,APL,{Laces},,,,Running,{},185.00,USA,{},2022,"{Spring, Summer}","{Classic, Sporty, Minimalist, Sock}",,7.3
Adidas Nizza RF,Adidas,{Laces},,,,Basketball,{},80.00,,{},2019,{},{},Low,
Vans Skate Slip-On,Vans,{Slip-On},,,,Skate,{No Lace},65.00,,{},2022,"{Spring, Summer}",{Classic},Low,15.0
PUMA Bari Slip-On,PUMA,{Slip-On},,,,Tennis,{No Lace},50.00,,"{Floral, Striped, Tie Dye, Graphic}",2019,{Summer},"{Sporty, Minimalist}",Low,
Adidas Forum Exhibit Low,Adidas,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",100.00,,{},2021,{},"{Retro, Sporty, Minimalist}",Low,
New Balance 878,New Balance,{Laces},,,,Running,"{Cotton Lace, Round Lace}",200.00,Asian,{},2022,"{Spring, Fall, Winter}","{Dad, Sporty, Chunky}",Low,
Nike Dunk Low Retro SE,Nike,{Laces},,,,,{Flat Lace},120.00,Asian,{},2022,"{Spring, Summer}",{Classic},Low,
Onitsuka Tiger Ultimate 81,Onitsuka Tiger,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Nike SB Nyjah 3,Nike,{Laces},,Nyjah Huston,,Skate,{Flat Lace},110.00,,{},2023,"{Fall, Winter}","{Sporty, Futuristic}",Low,
Nike Air Max 90 Leather,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Adidas EQT Gazelle,Adidas,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",130.00,,{},2019,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Nike Dunk High Retro PRM,Nike,{Laces},,,,Basketball,{Flat Lace},135.00,Asian,{},2022,"{Fall, Winter}","{Classic, Sporty}",High,
PUMA Cell Speed,PUMA,{Laces},,,,Running,{Round Lace},90.00,,{},2023,"{Spring, Summer}","{Sporty, Chunky}",Low,
Nike Air Max 95 SE,Nike,{Laces},,Sergio Lozano,,Running,{Round Lace},170.00,,{},,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Vans ComfyCush SK8-Hi,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,"{Floral, Tie Dye, Zebra, Animal}",2019,"{Spring, Summer, Fall}","{Retro, Sporty}",High,
Nike Blazer Mid 77 EMB,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",High,
Vans UltraRange EXO Hi MTE,Vans,{Laces},,,,Hiking,"{Round Lace, Synthetic Lace}",110.00,,{},2021,"{Fall, Winter}","{Sporty, Sneakerboots}",High,
Nike Air Zoom-Type Crater,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",150.00,Asian,{},2022,"{Spring, Summer, Fall}","{Sporty, Futuristic, Chunky}",Low,
Saucony Grid Web,Saucony,{Laces},,,,Running,{Round Lace},120.00,,{},2020,"{Spring, Summer}","{Retro, Dad, Sporty, Futuristic, Chunky}",Low,12.0
Nike Air Huarache Crater Premium,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",135.00,Asian,{},,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Sperry Halyard CVO,Sperry,{Laces},,,,Boat,{Round Lace},65.00,,{},2022,"{Spring, Summer}",{},Low,16.0
New Balance 452,New Balance,{Laces},,,,Running,"{Cotton Lace, Round Lace}",95.00,,{},2022,"{Spring, Summer}",{},Low,
Adidas ZX 8000 LEGO,Adidas,{Laces},LEGO,,,Running,"{Cotton Lace, Flat Lace}",140.00,Asian,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,12.7
PUMA Astro Kick,PUMA,{Laces},,,,Football,{Cotton Lace},60.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Vans Canvas Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",55.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Etnies Marana Michelin,Etnies,{},Michelin,,,Skate,{},80.00,,{},,{},{},Low,
Cole Haan Grand Crosscourt II,Cole Haan,{Laces},,,,Casual,{Flat Lace},90.00,,{},2020,{},"{Sporty, Minimalist, Dressy}",Low,
ECCO MX,ECCO,{Laces},,,,,{},150.00,,{},2023,"{Spring, Summer, Fall, Winter}","{Sporty, Minimalist}",Low,
ASICS Gel Mai,ASICS,{Laces},,,,Running,{},130.00,,{},,"{Spring, Summer}",{Classic},Low,
Skechers Moreno,Skechers,{Laces},,,,Casual,{},70.00,,{},2020,{},{},Low,
Columbia PFG Bahama Vent,Columbia,{Slip-On},,,,Boat,{No Lace},75.00,,{},,"{Spring, Summer}",{Minimalist},Low,8.5
Vans Chukka Low Sidestripe,Vans,{Laces},,,,Skate,{Flat Lace},75.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike AD Comfort,Nike,{Slip-On},,,,Running,{No Lace},65.00,,{},2021,{Summer},{Sporty},Low,
Adidas Climacool 1,Adidas,{Laces},,,,Running,{},120.00,,{},,"{Spring, Summer}",{},Low,
eS Swift 1.5,éS,{Laces},,,,Skate,{},100.00,,{},2019,{},{},Low,
Fila F-13,Fila,"{Velcro, Laces}",,,,Casual,{No Lace},65.00,,{},2019,{},{},High,
Vans SK8-Hi,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,"{Leopard, Floral, Tie Dye, Checkered, Animal, Graphic}",,"{Spring, Fall}","{Classic, Sporty}",High,
Converse Chuck 70 Low Top,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",80.00,,"{Floral, Zebra, Animal}",,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Etnies Faze,Etnies,{},,,,Skate,{Flat Lace},88.00,,{},2022,"{Spring, Summer, Fall}",{Sporty},Low,
ECCO ATH-1FM,ECCO,"{Laces, Slip-On}",,,,Casual,{},130.00,,{},2023,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Vans Slip-On Mule,Vans,{Slip-On},,,,Skate,{No Lace},60.00,,"{Snakeskin, Animal}",2021,{Summer},"{Retro, Mule}",Low,19.0
Nike Air Max Invigor,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Native Miles,Native,{},,,,Casual,{},45.00,,{},,{},{},Low,
Jordan Son of Mars,Jordan,"{Velcro, Laces}",,,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",160.00,,{},,"{Spring, Summer}","{Retro, Sporty}",High,
Merrell Jungle Slide,Merrell,{Slip-On},,,,Hiking,{No Lace},95.00,,{},2022,"{Spring, Summer}",{Dad},Low,25.4
Emerica Spanky G6,Emerica,{Laces},,,,Skate,{Flat Lace},80.00,,{},2019,"{Spring, Summer, Fall}","{Minimalist, Dressy}",Low,
Adidas Campus 80S,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",100.00,,{},2021,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Reebok Aztrek 96,Reebok,{Laces},,Christian Tresser,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Dad, Sporty, Chunky}",Low,
Jordan Air Cadence,Jordan,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Summer, Fall}","{Dad, Sporty, Futuristic}",Low,14.6
Jordan Max Aura 3,Jordan,{Laces},,,,Basketball,{Round Lace},120.00,,{},2021,"{Spring, Summer}","{Sporty, Chunky}",Mid,
KEEN Anchorage III Waterproof Boot,KEEN,{Slip-On},,,,Casual,{No Lace},135.00,,{},,{Winter},{Sneakerboots},High,
Balenciaga Speed Trainer,Balenciaga,{Slip-On},,,,Running,{No Lace},875.00,Italian,{},,"{Spring, Summer}","{Sporty, Minimalist, Sock}",High,8.5
Nike Waffle Trainer 2,Nike,{Laces},,,,Running,{Flat Lace},90.00,Asian,{},2021,{Summer},"{Retro, Sporty}",Low,
New Balance 920,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",250.00,European,{},2022,"{Spring, Summer}","{Dad, Sporty}",Low,
Vans Cruze Too CC,Vans,{Laces},,,,Skate,{Flat Lace},80.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,9.0
Adidas Retropy P9,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",160.00,Asian,{},2022,"{Spring, Summer, Fall, Winter}","{Retro, Sporty}",Low,
Adidas Deerupt Runner,Adidas,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, No Lace, Flat Lace}",100.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Ispa Link,Nike,{Laces},,,,,{Synthetic Lace},225.00,USA,{},2022,"{Spring, Summer}",{Sock},Mid,
Nike Air Max SC Leather,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",85.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Vans ComfyCush Slip-On,Vans,{Slip-On},,,,Skate,{No Lace},60.00,,{Checkered},2019,"{Spring, Summer}","{Retro, Minimalist}",Low,
Adidas Tresc Run,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Saucony Jazz Original,Saucony,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",60.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,9.0
Vans Era 59,Vans,{Laces},,,,Skate,"{Round Lace, Flat Lace}",55.00,,"{Camouflage, Floral, Striped, Graphic}",,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Air Trainer 1 SP,Nike,{Laces},,Tinker Hatfield,,Training,{Flat Lace},150.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Mid,
Air Jordan 1 Zoom CMFT 2,Nike,{Laces},,,,Basketball,{Flat Lace},150.00,,{},2023,"{Spring, Summer}","{Retro, Sporty}",High,
Adidas 3ST.004,Adidas,{Laces},,,,Skate,"{Synthetic Lace, Flat Lace}",120.00,,{},2019,"{Spring, Summer}","{Sporty, Minimalist, Futuristic}",Low,
Nike React SFB Carbon Low,Nike,{Laces},,,,Hiking,"{Round Lace, Synthetic Lace}",140.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
New Balance 574H,New Balance,{Laces},,,,Hiking,{Round Lace},100.00,,{},2023,"{Fall, Winter}",{Sneakerboots},Mid,12.7
PUMA Teveris Nitro,PUMA,{Laces},,,,Running,{Flat Lace},100.00,,{},2023,"{Spring, Summer}","{Dad, Sporty}",Low,
Vans Leather Authentic,Vans,{Laces},,,,,"{Cotton Lace, Flat Lace}",80.00,Asian,{},2022,"{Spring, Summer}","{Classic, Minimalist}",Low,12.0
Veja Condor 2,Veja,{Laces},,,,Running,{},170.00,,{},2022,"{Spring, Summer, Fall}",{Sporty},Low,10.6
KEEN Mosey Chukka,KEEN,{Laces},,,,Hiking,{Flat Lace},130.00,,{},2023,"{Fall, Winter}",{Sneakerboots},Mid,12.0
Lakai Telford Low,Lakai,{Laces},,,,Skate,{Flat Lace},85.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
DVS Militia Boot,DVS,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",95.00,,{},2019,{Winter},{Sneakerboots},Mid,
Vans The Lizzie,Vans,{Laces},,,,Skate,{Flat Lace},85.00,,{},2022,"{Spring, Summer}",{Classic},High,15.0
DVS Enduro Heir,DVS,{Laces},,,,Skate,{},80.00,,{},2019,{},{},Low,
Adidas ZX 700 HD,Adidas,{Laces},,,,Running,{Round Lace},90.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Air Jordan 10 Retro,Jordan,{Laces},,,,Basketball,{Round Lace},190.00,,{},,"{Spring, Summer, Fall}",{Sporty},Mid,14.1
Nike Air Max Infinity 2,Nike,{Laces},,,,Running,{Round Lace},100.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Futuristic}",Low,11.0
Nike Waffle One Crater,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,
Adidas Response Super,Adidas,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",90.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Vans Bold NI,Vans,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",65.00,,"{Checkered, Graphic}",2019,"{Spring, Summer, Fall}",{Minimalist},Low,
New Balance 480,New Balance,{Laces},,,,Basketball,{},90.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Adidas Superstar ADV,Adidas,{Laces},,,,Skate,{Flat Lace},80.00,,{},2022,{Spring},{Classic},Low,
Vans SK8-Hi Platform 2.0,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{Checkered},2019,"{Spring, Summer, Fall}","{Retro, Sporty, Platform}",High,
DC Striker,DC,{Laces},,,,Skate,{Flat Lace},70.00,,{},2023,"{Spring, Summer}",{Sporty},Low,14.0
Nike Air Vapormax 360,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",225.00,,{},2020,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Cole Haan Grandsport,Cole Haan,{Laces},,,,,{Cotton Lace},150.00,,{},2022,"{Spring, Summer}","{Classic, Dressy}",Low,
Nike SB Bruin React,Nike,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Reebok Club C Coast,Reebok,{Laces},,,,Skate,{Cotton Lace},65.00,Asian,{},2022,"{Spring, Summer, Fall, Winter}",{Minimalist},Low,
Reebok Zig Dynamica 2,Reebok,{Laces},,,,Running,{Flat Lace},85.00,Asian,{},2022,"{Spring, Summer}","{Sporty, Chunky}",Low,
Adidas Forum Mid Parley,Adidas,{Laces},,,,Basketball,{Flat Lace},130.00,,{},2023,"{Spring, Summer}","{Retro, Sporty, Sneakerboots}",Mid,
PUMA Court Star,PUMA,{Laces},,,,Tennis,{Flat Lace},55.00,,{},2020,{Summer},"{Retro, Minimalist}",Low,
Adidas Nizza Hi RF,Adidas,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",High,
Skechers After Burn M. Fit,Skechers,{Slip-On},,,,Training,{No Lace},80.00,,{},,{Fall},"{Dad, Sporty}",Low,
DVS Celsius,DVS,{Laces},,,,Skate,{},70.00,,{},2019,{},{},Low,
Reebok Zig Kinetica Edge,Reebok,"{Laces, Slip-On}",,,,Running,"{Synthetic Lace, No Lace, Toggle Lace}",130.00,Asian,{},2021,"{Spring, Fall, Winter}","{Sporty, Chunky}",Low,
Hey Dude Wally Woven,Hey Dude,"{Pull Toggle, Slip-On}",,,,Casual,"{No Lace, Elastic Lace}",60.00,,{},,"{Spring, Summer}",{Minimalist},Low,
Globe Tilt,Globe,{Laces},,,,Skate,{},65.00,,{},2019,{},{},Low,
Skechers D'Lux Walker,Skechers,{Laces},,,,,"{Synthetic Lace, Elastic Lace, Flat Lace}",75.00,,{},2020,{Summer},"{Sporty, Chunky}",Low,
Reebok More Buckets,Reebok,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",75.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Mid,
Hoka Clifton L,Hoka,{Laces},,,,Running,{Cotton Lace},150.00,Asian,{},2022,"{Spring, Summer}",{Sporty},Low,
Vans Checkerboard Authentic,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",55.00,,"{Camouflage, Checkered}",,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Max 1 Premium,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Adiease,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
PUMA Rebound Layup Lo,PUMA,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",60.00,,{},2022,"{Fall, Winter}",{Sporty},Low,
Nike Air Force 1 High Utility 2.0,Nike,"{Velcro, Laces}",,,,,"{Cotton Lace, No Lace, Flat Lace}",110.00,,{},2022,{Winter},{},High,
Nike SB Blazer Court Mid,Nike,{Laces},,,,Skate,{Flat Lace},75.00,,{},2022,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",High,
Etnies Joslin Vulc,Etnies,{Laces},,Chris Joslin,,Skate,{},98.00,,{},2022,"{Spring, Summer, Fall}",{Sporty},Low,
Nike Air Max 97 Premium,Nike,{Laces},,Christian Tresser,,Running,"{Round Lace, Synthetic Lace}",170.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Sperry Soletide,Sperry,{Laces},,,,Boat,"{Cotton Lace, Round Lace}",75.00,Asian,{},2022,"{Spring, Summer}","{Retro, Minimalist}",Low,
Nike Flyknit Trainer,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",150.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist, Sock}",Low,
Vans Anaheim Factory Authentic 44 DX,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",90.00,,{Checkered},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Court Legacy Next Nature,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",65.00,Asian,{},2022,{Winter},"{Sporty, Minimalist}",Low,
PUMA RS-X Mid,PUMA,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",120.00,,{},2022,"{Spring, Fall}","{Retro, Sporty, Chunky, Sneakerboots}",Mid,
Lakai Owen,Lakai,{Slip-On},,,,Skate,{No Lace},68.00,,{},2019,{},{},Low,
Adidas LA Trainer 3,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
ASICS Gel Diablo,ASICS,{},,,,Running,{},130.00,,{},,{},{},Low,
New Balance 210,New Balance,{},,,,Skate,{},60.00,,{},,{},{Minimalist},Low,
Nike Air Max Triax 96,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Round Lace}",140.00,,{},2020,"{Spring, Summer, Fall}","{Classic, Dad, Sporty}",Low,
Birkenstock Arran,Birkenstock,{Laces},,,,Tennis,{Flat Lace},190.00,,{},2019,"{Spring, Summer}","{Sporty, Minimalist, Dressy}",Low,
TOMS Baja Slip-On,TOMS,{},,,,Casual,{},50.00,,{},2019,{},{},Low,
Merrell Embark Lace,Merrell,"{Laces, Slip-On}",,,,Hiking,"{No Lace, Flat Lace}",110.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
Nike Air Max 90 Premium,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Nike Air Max Bliss,Nike,{Laces},,,,Running,{Round Lace},130.00,,{},2022,"{Spring, Summer}","{Sporty, Chunky}",Low,
Adidas Jeans,Adidas,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Skechers Glide-Step Flex,Skechers,{Slip-On},,,,Running,{No Lace},90.00,,{},2022,"{Spring, Summer}",{Sock},Low,
Adidas Yeezy Boost 700,Adidas,{Laces},Kanye West,,,Running,"{Cotton Lace, Flat Lace}",300.00,,{},,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Emerica Romero Laced,Emerica,{},,,,Skate,{},60.00,,{},2019,{},{},Low,
PUMA RS-X Tech,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2019,"{Spring, Summer, Fall}","{Dad, Sporty, Chunky}",Low,
Etnies Jefferson MTW,Etnies,{Laces},,,,Skate,{},95.00,,{},2020,{Winter},{},Mid,
Nike Adapt Auto Max,Nike,{},,,,Running,{Self-Lacing},400.00,,{},2020,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Reebok Classic Renaissance,Reebok,{},,,,Running,{},60.00,,{},,{},{},Low,
PUMA H.ST.20,PUMA,{Laces},,,,Running,{Flat Lace},85.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
Air Jordan 2 Retro Low,Jordan,{Laces},,,,Basketball,{Flat Lace},160.00,,{},,"{Spring, Summer}",{Sporty},Low,
Globe Surplus,Globe,{Laces},,,,Skate,{},100.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Adidas Wales Bonner,Adidas,{Laces},Wales Bonner,Wales Bonner,,,{Flat Lace},180.00,,{},2022,"{Fall, Winter}",{Retro},Low,
New Balance Numeric 213,New Balance,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",70.00,,{},2020,"{Spring, Summer}","{Retro, Minimalist}",Mid,
Nike MX-720-818,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",190.00,Asian,{},2020,"{Spring, Fall}","{Sporty, Futuristic, Chunky}",Low,
Adidas Rod Laver Vintage,Adidas,{Laces},,,,Tennis,"{Synthetic Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Adidas Tubular Shadow,Adidas,"{Laces, Slip-On}",,Nic Galway,,Running,"{Round Lace, Synthetic Lace, No Lace}",100.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Onitsuka Tiger Mexico 66 SD,Onitsuka Tiger,{},,,,Running,{},130.00,,{},,{},{},Low,
Adidas Torsion X,Adidas,{Laces},,,,Running,{},180.00,,{},2020,{},{Retro},Low,
